,0
0,English
1,<START>
2,ấ
3,&
4,k
5,r
6,ă
7,á
8,ḥ
9,1
10,य
11,ị
12,“
13,ộ
14,ế
15,ि
16,_
17,ल
18,ī
19,0
20,ș
21,4
22,}
23,s
24,""""
25,च
26,š
27,","
28,द
29,घ
30,«
31,ख
32,फ
33,ț
34,थ
35,ñ
36,म
37,7
38,ặ
39,ň
40,v
41,3
42,त
43,ë
44,ü
45,ध
46,क
47,*
48,$
49,о
50,b
51,ु
52,ģ
53,ऽ
54,n
55,(
56,.
57,ć
58,)
59,à
60,í
61,ɔ
62,उ
63,ỉ
64,+
65,?
66,ę
67,ी
68,a
69,ł
70,û
71,õ
72,а
73,ì
74,#
75,c
76,u
77,ụ
78,w
79,भ
80,5
81,l
82,j
83,e
84,ớ
85,श
86,ņ
87,ब
88,%
89,î
90,é
91,ṛ
92,ń
93,अ
94,र
95,ļ
96,ù
97,छ
98,—
99,ⓡ
100,ö
101,ै
102,-
103,ệ
104,=
105,ā
106,f
107,ě
108,ङ
109,ä
110,ů
111,ग
112,z
113,{
114,व
115,®
116,>
117,ķ
118,;
119,į
120,i
121,:
122,m
123,ṇ
124,ṁ
125,ः
126,ĩ
127,¡
128,ञ
129,ठ
130,y
131,॥
132,’
133,9
134,ॄ
135,â
136,с
137,ė
138,न
139,ű
140,ष
141,ृ
142,ạ
143,·
144,2
145,o
146,ò
147,d
148,è
149,ढ
150,ç
151,~
152,ś
153,q
154,6
155,8
156,ह
157, 
158,।
159,•
160,g
161,ó
162,‘
163,”
164,ư
165,ड
166,'
167,ş
168,ſ
169,आ
170,@
171,ṣ
172,ज
173,ọ
174,ौ
175,ए
176,ट
177,ा
178,ã
179,इ
180,/
181,p
182,]
183,t
184,ं
185,ħ
186,ţ
187,ú
188,h
189,å
190,्
191,स
192,ď
193,ả
194,ı
195,ू
196,ū
197,प
198,„
199,ो
200,–
201,[
202,े
203,x
204,ř
205,ण
206,!
207,<PADDING>
208,<END>
